cue,R1,R1.Strength,source,target
way,path,0.19,,
part,piece,0.121212121212121,,
number,letter,0.0606060606060606,,
place,put,0.0612244897959184,,
case,brief,0.05,,
work,play,0.222222222222222,,
country,land,0.07,,
right,left,0.25,,
week,seven days,0.14,,
people,humans,0.08,,
school,education,0.09,,
child,parent,0.06,,
night,evening,0.12,,
fact,fiction,0.255102040816327,,
time,flies,0.0606060606060606,,
word,sentence,0.0721649484536082,,
woman,girl,0.07,,
area,space,0.181818181818182,,
hand,finger,0.08,,
company,friends,0.11,,
night,dark,0.2,,
question,answer,0.424242424242424,,
right,wrong,0.35,,
home,house,0.34,,
part,whole,0.0808080808080808,,
room,space,0.202020202020202,,
week,seven,0.07,,
world,globe,0.21,,
child,baby,0.14,,
fact,truth,0.153061224489796,,
issue,magazine,0.14,,
area,square,0.0606060606060606,,
student,teacher,0.14,,
number,one,0.202020202020202,,
part,hair,0.101010101010101,,
water,drink,0.0909090909090909,,
word,association,0.0927835051546392,,
night,owl,0.05,,
book,read,0.42,,
point,sharp,0.07,,
case,suitcase,0.05,,
mother,mom,0.12,,
woman,female,0.22,,
week,end,0.05,,
study,books,0.08,,
family,friends,0.12,,
way,road,0.11,,
story,tale,0.3,,
year,age,0.07,,
lot,many,0.09,,
money,green,0.08,,
eye,ball,0.2,,
time,clock,0.212121212121212,,
man,male,0.0606060606060606,,
world,earth,0.21,,
right,correct,0.17,,
eye,see,0.15,,
mother,father,0.3,,
room,bed,0.101010101010101,,
home,heart,0.07,,
world,view,0.07,,
study,hard,0.06,,
child,kid,0.13,,
story,teller,0.05,,
people,friends,0.05,,
world,war,0.07,,
month,January,0.05,,
life,death,0.247422680412371,,
people,person,0.11,,
eye,glasses,0.07,,
problem,solution,0.181818181818182,,
point,finger,0.16,,
night,sleep,0.05,,
month,calendar,0.05,,
year,annual,0.07,,
water,wet,0.0909090909090909,,
hand,left,0.07,,
day,light,0.12,,
book,mark,0.05,,
part,section,0.0909090909090909,,
eye,sight,0.07,,
lot,much,0.06,,
system,organization,0.111111111111111,,
question,mark,0.141414141414141,,
family,love,0.12,,
study,learn,0.16,,
way,out,0.05,,
money,cash,0.26,,
thing,object,0.204081632653061,,
room,house,0.0606060606060606,,
work,hard,0.0808080808080808,,
point,pencil,0.07,,
place,location,0.122448979591837,,
country,USA,0.06,,
group,friends,0.05,,
hand,foot,0.09,,
lot,a,0.05,,
system,computer,0.111111111111111,,
company,corporation,0.09,,
country,nation,0.08,,
problem,solve,0.111111111111111,,
story,telling,0.05,,
home,sweet,0.05,,
day,today,0.05,,
man,human,0.0505050505050505,,
water,lake,0.0606060606060606,,
number,digit,0.0606060606060606,,
people,persons,0.07,,
hand,fingers,0.06,,
place,here,0.0510204081632653,,
time,watch,0.0606060606060606,,
question,query,0.0808080808080808,,
case,file,0.05,,
thing,item,0.142857142857143,,
water,liquid,0.111111111111111,,
problem,difficulty,0.0505050505050505,,
student,learner,0.15,,
job,employment,0.0918367346938776,,
work,labor,0.0606060606060606,,
school,learn,0.07,,
study,hall,0.07,,
mother,love,0.07,,
state,nation,0.0707070707070707,,
fact,true,0.0918367346938776,,
question,ask,0.131313131313131,,
way,route,0.08,,
people,crowd,0.05,,
time,hour,0.0707070707070707,,
issue,topic,0.05,,
number,count,0.0909090909090909,,
state,say,0.0808080808080808,,
woman,lady,0.05,,
business,enterprise,0.06,,
point,shoot,0.05,,
job,task,0.0510204081632653,,
case,box,0.07,,
student,learn,0.05,,
student,pupil,0.06,,
money,dollars,0.05,,
group,association,0.05,,
number,quantity,0.0505050505050505,,
lot,parking,0.05,,
school,days,0.06,,
money,currency,0.05,,
government,big,0.05,,
program,code,0.0618556701030928,,
government,politics,0.07,,
program,computer,0.34020618556701,,
ROOT,time,2.0,,
ROOT,year,2.0,,
ROOT,people,2.0,,
ROOT,way,2.0,,
ROOT,day,2.0,,
ROOT,man,2.0,,
ROOT,thing,2.0,,
ROOT,woman,2.0,,
ROOT,life,2.0,,
ROOT,child,2.0,,
ROOT,world,2.0,,
ROOT,school,2.0,,
ROOT,state,2.0,,
ROOT,family,2.0,,
ROOT,student,2.0,,
ROOT,group,2.0,,
ROOT,country,2.0,,
ROOT,problem,2.0,,
ROOT,hand,2.0,,
ROOT,part,2.0,,
ROOT,place,2.0,,
ROOT,case,2.0,,
ROOT,week,2.0,,
ROOT,company,2.0,,
ROOT,system,2.0,,
ROOT,program,2.0,,
ROOT,question,2.0,,
ROOT,work,2.0,,
ROOT,government,2.0,,
ROOT,number,2.0,,
ROOT,night,2.0,,
ROOT,point,2.0,,
ROOT,home,2.0,,
ROOT,water,2.0,,
ROOT,room,2.0,,
ROOT,mother,2.0,,
ROOT,area,2.0,,
ROOT,money,2.0,,
ROOT,story,2.0,,
ROOT,fact,2.0,,
ROOT,month,2.0,,
ROOT,lot,2.0,,
ROOT,right,2.0,,
ROOT,study,2.0,,
ROOT,book,2.0,,
ROOT,eye,2.0,,
ROOT,job,2.0,,
ROOT,word,2.0,,
ROOT,business,2.0,,
ROOT,issue,2.0,,
